Bangla,English,Reason,Categry,Label
"?????? ???? ????,?? ??? ???? ??? ???? ????? ????","Of course you will,
Something better than what is gone",Blessfull Sentence,Personal,No
"??????? ???? ????,???? ???? ??????
???? ????",Wonderfull drama.Delight to watch,Joyfull Sentence,Personal,No
??? ????? ????? ?? ???? ??????? ???? ?????????,And let Pakistan hold a conference withJamaat-e-Islami,Hate towards a Group,Political,Yes
"???? ???? ??????, ???? ???? ????????","Liked it very much, good luck",Congratualated someone,Personal,No
???? ????? ????? ? ??? ??????? ???? ????  ????,"Hi, bitch how  was the punishment and apology in the  the cattle market .",Hate towards a person,Geopolitical,Yes
?????? ???????? ?? ???? ? ???? ??? ?????,"Like Taslima Nasrin, how much money you bitch   get money",Hate towards a person,Personal,Yes
"????????? ??????? ???????, ????????? ?????? ????????????? ???? ??????? ?????","Only life is unreal, uncertain. Only true loves are neglected.",Normal Sentence,Other,No
"???????? ?????? ?? ??????
???? ?????? ???? ???? ?????? ????? ????? ???? ?? ???? ??","People are really weird too
We choose our loved ones to hurt",Normal Sentence,Other,No
?????? ?????? ?? ???? ???? ?? ?? ?? ??,"Girls are stupid, nothing new ha ha ha",Hate towards  girl,Geopolitical,Yes
?? ??????? ?????? ???? ????? ?? ???? ??? ??? ???? ????? ,Hi son of bitch do you want to fuck a girl after seeing them.,Hate towards a Person,Personal,Yes
??? ???? ????? ?? ?? ??? ???? ?? ???? ????? ?? ????? ,"If I got one, I would give four fucking shots in one night, even if it was less",Hit a individual,Geopolitical,Yes
"???????? ??????? ?????,???? ???? ?????,?????? ????? ???? ?????? ????? ???? ????? ???? ???????? ?????","Assalamu Alaikum brother, how are you brother, really Nusrat Imroz Tisha Apu is a perfect pair with you.",Normal Sentence,Personal,No
???? ???? ??????? ????? ????? ???? ???? ??????? ???,"As great as you are, your plays are great bosses",Normal Sentence,Personal,No
???? ?????? ????,She is completely a whore.,Hate towards a person,Personal,Yes
????? ????? ?????????? ?? ???? ???? ???? ???  ???????? ?????? ?????????? ????? ??? ??? ???? ??????? ?????????,"tarif have you rent your mother to son of malwan(hindu), do not you son of bitch have any compession for Muslim  ",,Personal,Yes
????????? ????? ???? ?? ???? ????? ????,The government of Bangladesh is blind and the government of India is blind,Hates towards  Government of Country,Geopolitical,Yes
? ?????? ?????? ??? ???? ????? ?? ???? ???? ???,"Hi son of slut Somoi TV, you will be beat by shoes",Hate towards a group of person,Personal,Yes
"???? ???? ????,???? ? ????? ?????? ??? ???? ???? ????? ??? ????????? ????? ???????? ????? ???? ??? ??????? ??? ???? ???","You are a humble, polite and decent person. I like your words very much. My favorite mother tongue blossoms like a rose in your face",Normal Sentence,Personal,No
????? ???? ??????? ???? ????????,Brother love the one you like, Normal sentence.,Personal,No
???? ?? ??? ??   ?? ???,"Slut open up your tits , and be totally naked.",Hate towards a person,Personal,Yes
???????? ???????? ????? ???? ????? ???? ???? ??? ??? ,The Indian Malauns are married to dogs and eat cow's urine,Hate towards a indian,Geopolitical,Yes
"???????, ?????, ?????, ??????, ???????????? ?? ??????? ?????????? ?????? ?????","Mashrafe, Shakib, Tamim, Mushfiqur, Mahmudullah are the gems of Bangladesh.",A sentence of proud.,Sports,No
 ?????? ?????? ???? ??????? ???? ???? ????,"In fact, the BNP found out in a traitor meeting",Hate towards a Political Party,Political,Yes
????? ?????? ?????? ????? ??????? ?????? ??????... ???? ?????,Tamim played the rest of the match with a broken finger ... that's Tamim,Respectful Sentence,Sports,No
??? ???? ???? ?????? ??? ??? ??? ??? ??? ????? ???? ???? ???? ???,"Hi Busturd, you have more fathers, if they do something, that's fine",Hate towards  a  party,Political,Yes
?? ????? ???? ???? ????? ?? ?? ???? ???? ?????? ????? ???,"Hi bitch he is complete goat and that infantry don not fuck india , mother fucker.",Hate towards a person,Personal,Yes
????? ???????????? ?????? ???? ???????????? ??????? ???? ??? ,The cricketers have to follow the instructions of the board officials,Normal Sentence,Sports,No
 ????? ??? ?? ??? ???? ???????? ?????? ??????? ????? ???? ????,"The thief's mother has a big throat, You bithch cheat with us",Hate towards india,Personal,Yes
?? ???? ??????? ??? ?? ???? ???? ???? ???? ???????????,I sincerely believe that you are an inspiration to me.,Gratefull sentence,Personal,No
"????? ????? ???? ???????, ????? ???? ??? ???? ????,","Your posts are awesome, always point out the truth,",Reality,Personal,No
"??????? ???? ?????????????
??????? ??? ???? ????????? ????????? ??????","Every word is precious.
The basic human policy-making practical message",Important to human being,Personal,No
"???? ?????? ???? ?????? ???? ?? ??????? ??? ??? ?????,???? ???? ???? ??? ???? ?? ???? ???? ???? ???? ???? ?????","Those who want to get a job should take note of these words, which may be useful in one way or another in the course of life.",Inispirational,Personal,No
?? ?? ????????? ?????? ?????,All the bloody asshole need to be beaten,Hate towards a Political Party,Personal,Yes
???? ??? ?????????? ???? ?? ????,It wiil be bettetr to come india in and let them move the pennis of Bangladeshi.,Hate towards India,Geopolitical,Yes
????? ???? ???? ?????? ?????? ???????? ???? ?????? ???? ??? ????? ???? ????????,Such a story is incomparable in this age. Her husband will be memorable as an idol,Gorgeous story,Personal,No
???? ?? ??? ????? ?? ???? ???? ???? ?????? ???? ?????? ????? ,"If I could beat the Suchi, with shoes as I wished, I would get a little peace",Personally hit a person by words,Personal,Yes
????? ?? ?????? ????,The last one is totally bitch,Hate towards a person,Personal,Yes
 ?????? ?? ?????? ??? ?? ??? ??? ?? ???? ????? ???? ????? ???? ???? ???,I don't know if anyone else can introduce such a big mind like this brother.,Normal Sentence,Personal,No
??????????? ??????? ??? ??? ????? ???? ??????? ????????? ?????????? ??,Thank you Pakistan Army for killing reindian like a dog,Hate towards India,Geopolitical,Yes
?? ?? ???? ????? ???? ?????? ??????? ????????? ???? ???? ??? ????? ?????? ???? ???? ?? ???? ???????? ????? ??? ???? ??????? ???? ???? ??????? ????????,And thank you very much Sister for the way she has the real events that happened to her every moment of her life.,Normal Sentence,Personal,No
???? ?? ?????? ?????? ???? ??? ?? ?????? ???? ??????????? ??? ?????? ???? ???? ???,"Wake up, O Muslim child, wake up, the names of the Malauns must be erased from this world forever",Hate towards Indian hindu,Geopolitical,Yes
????? ???? ??? ??????? ????? ???? ?????? ???? ????,"Son of slut, you do not understand politics,Hilary is perfect one. ",Hate towards a person,Personal,Yes
?? ??????? ??????? ???? ????? ??? ??????? ??? ?? ?????? ????? ?????? ????????? ????????? ??????? ???? ?????,"Through this story, my idea has become more entrenched that it helps to create inferiority in the education system of our country.",Reality,Personal,No
"????? ???????, ???? ???? ???? ????? ??????","Really awesome, I like the story a lot",Normal Sentence,Personal,No
"????????? ??? ??? ??? ???? ???? ??, ????? ????, ???? ???? ?? ???? ?? ?????? ??? ???????","If you want to be well educated, you don't need to read and write, you need a conscience, you need a good mind. This story is proof of that.",Reality,Personal,No
??? ??? ?????????? ???? ??? ??? ???? ?? ???? ??????,I am in Saudi Arabia now inshallah they are illegitimate children,Hate towards a Country,Geopolitical,Yes
????? ??? ????? ???? ??? ?????????,Please do not anyonr fuck her with out condoms,Hate towards a Person,Personal,Yes
???? ???? ????? ??? ?????? ?????? ????? ??? ????? ??? ?????? ???? ???? ?????? ?????? ?? ???? ????? ??? ???? ???? ??????? ?????? ?????? ??? ?? ????? ????? ???? ???? ???? ??????? ????? ,"You come inside the screen as a girl guy. Remember that no matter how good you are as a wife, if you cannot be a beloved servant of God, then life will be in vain.",Wishful sentence,Personal,No
?? ????? ????? ????? ????,Jamaat Shibir is involved in all of them,Hate towards a party,Political,Yes
"???? ??????????? ????? ????? ??????? ???? ??? ??,???? ?????????? ????? ?????????? ??????????????? ????? ?????? ???? ??? ????? ?? ????????? ???","You can't be educated just by getting a certificate, because self-education is the real good education. I hope you are always very good in this way.",Wishful sentence,Personal,No
???? ??? ?????????? ???? ???????? ??? ?? ???  ????? ???? ?????????? ???? ???? ???? ??,India should not talk about Bangladesh because India never wants Bangladesh well,hit India,Geopolitical,Yes
???? ????????? ??? ????? ?????? ???? ?? ??????,Millions of Muslims live in India asshole are they malauns(Hindu),Hate towards Indian hindu,Geopolitical,Yes
????? ????? ????? ?? ????? ???????? ?????? ?? ?? ?????? ??????????????? ???? ???? ???? ???? ???????? ??? ????? ??? ??,"I will watch your video and life will not change, that's how it is Alhamdulillah, much better change is happening than before",Gratefull sentence,Personal,No
????? ???? ????? ???? ????? ???????? ??????? ?????? ????? ?????? ??????? ????? ??????? ??? ??????? ?????? ???? ???? ???? ?? ???? ?? ??? ????? ??? ???? ???? ?????? ??? ??? ???? ??? ?? ?? ???? ???? ???? ?????? ???? ???? ???? ???????? ?? ???????,"Many things in life have changed for you. Thank you very much. I like your every word, every style. I don't like to say that. I pray that you go a long way.",Gratefull sentence,Personal,No
??????? ??????? ????? ???? ?? ??????! ????? ???? ???? ??? ???? ???? ???? ??????? ???? ?????! ???? ???? ???????? ????? ????,I try so hard to help you! It feels really good when I can help a little! Many many good wishes for you,Gratefull sentence,Personal,No
??????? ???? ??? ????,I fuck Hasina's Mother.,Hate towards a girl,Gender,Yes
???? ???? ???? ?????? ??? ????? ???? ???? ??????? ???? ???? ???? ?????????? ??? ???? ???? ???? ??????? ???? ??? ????? ???? ?????? ??? ?? ??? ???? ??? ?????????? ???? ???????? ? ????? ????,"Brother, you are talking very, very nicely. In fact, it is very good to hear the words. Not everyone has the courage to speak the truth. You are a very brave man. In this way someone will tell the truth. There was a lot of love and prayers.",Brave person,Political,No
????? ???? ???? ???????? ???? ?????? ????,"Busterd continue the election leveing the power, you bitch",Hate towards a party,Political,Yes
????? ???? ???? ???? ???? ??? ???? ???? ???? ???? ?????? ???? ??????? ,Give me a son to marry me because I can't  tolerate this pain you bitch,Hit a individual,Personal,Yes
???? ????????? ???? ????? ???? ???? ???? ????,The reason for the downfall of an ideological party is to read the book.,Normal Sentence,Political,No
????? ????? ???? ?????? ?????? ??????? ?????? ???,Running these live like this will be a problem for our organization,Normal Sentence,Political,No
 ????? ?????? ??????? ??????? ?????? ???? ????? ????? ?? ?? ?? ? ????? ??????? ??? ??? ??? ???? ??? ???  ,We think BNP and Jamaat Shibir are behind cutting pound cake for Tareq Zia's birthday,Hate towards a party,Political,Yes
????? ??? ????? ????,islam is a fucking religious.,Hit Islam religion,Religious,Yes
 ??????? ??????? ??????? ????? ????? ????? ???? ????,Foolish people are much better than educated people today,Normal Sentence,Political,No
??? ???????? ???????? ???? ????, You should fuck with bamboo in your ass,Directly hit Female.,Gender,Yes
"??? ???,?????????? ??????? ????????? ??? ? ????? ?????? ???? ???????? ???? ?????","Nur Bhai, being a true peddler of humanity, truly protests for the people of this country",Respectful Sentence,Political,Yes
?? ???? ?? ???? ?????,I'll drink and fuck you,hit female,Gender,Yes
???? ??? ??? ?????? ?????? ??? ?? ??? ?? ???? ????? ???? ???? ????? ??????? ???????,"A few days ago, the media reported that the two militants were followers of Zakir Naik",Directly hit a individual Person,Personal,Yes
?????? ??? ????? ???? ???,"VP Nur, the male hero of Bengal",Person of proud,Political,No
??????? ?? ??? ?????? ???? ????? ????? ??????? ,"How many more Awami League will you act, Mother Fourteen Awami League?",Directly hit a group.,Political,Yes
?????? ??????? ???? ?? ????? ?? ,Islam is nothing but barbarism,Directly hit a religious,Religious,Yes
??????? ????? ??? ???? ?????? ???? ????? ???????? ????,How many times did the journalist actually use the word to say it,Normal Sentence,Other,No
???? ????? ?? ?? ??? ???? ???? ???? ???? ?????? ,"Are you about to orgasam, saying that you are getting wet.",Hit a individual ,Personal,Yes
"????? ??????? ??? ??? ????? ""???""? ????? ??? ????? ???? ??? ??? ??? ????? ","Here the name of the heroine is called ""eka"". Many think he was detained alone",Normal Sentence,Other,No
?????? ???? ????????? ???? ???? ??? ???,By Killing the bitch malaun's(Hindu) clean it,Directly Hit a Country,Geopolitical,Yes
????? ?????? ???? ???? ?? ?????????? ???? ??? ???? ,Magir should be kicked in the ass and left on the platform,Hit a person,Personal,Yes
?? ???????? ??? ?? ????? ???? ???.,I have never heard the name of this heroine in my life.,Normal Sentence,Personal,No
???? ???????? ?? ????? ?? ?????? ????? ???? ????? ? ???? ?????????? ???? ??? ?????? ??????? ???? ???? ???? ?? ?? ??? ??? ??????? ??? ?????,"Today, the whole of Bangladesh is drowning in the scourge of drugs. In order to get rid of this, one has to follow the religious rules . Otherwise it will be more defeated.",Ethical and valuable,Religious,No
"?????? ??????? ??????, ??? ?????? ????? ??? ?????? ????????","""Saniur's bitch baby, I will fuck your sister lying on your shoulders""",Directly Hit a individual ,Personal,Yes
??? ????? ????? ??? ????? ?????? ????????,Fuck your mother laying down on Father's shoulders,Hit a person.,Personal,Yes
????? ??????? ????? ????????? ???? ?????? ??? ????? ?????? ???????? ???????-??????,Anti-Muslim poster-leaflets are being promoted in India in the name of the Muslim persecution movement,Directly hit a group of pepple,Religious,Yes
"?????,????????????? ???????? ?????,?????,????,??? ??????'?? ????????? ????? ???????? ??????? ???? ????? ????? ??????? ?????? ???? ????? ????? ???? ????? ??? ?????????","If Shakib, Mahmudullah as well as Soumya, Shamim, Afif, Sheikh Mehdi can play well according to their ability in batting, Team Bangladesh will be able to present a beautiful series to the fans.",Wishful sentence,Sports,No
"?????, ?????, ???? ?? ????? ??????? ??? ???????? ??? ????? ???? ?????? ????","Soumya, Shamim, Afif, it is better if these three players can keep the strike right",Normal Sentence,Sports,No
????? ???? ?? ????? ??? ?? ?? ???? ???? ?? ??? ???? ????? ????,There are many ways to earn money without doing this dirty work for the stomach,Normal Sentences instead of using Dirty word ,Personal,No
???????? ?????? ????? ???? ?????? ???,"""Motherfuckers do business with religion",Directly hit a group of people,Religious,Yes
"??? ????? ????? ??????, ??? ??? ??? ????","I don't want the power to leave, no matter how many bodies die.",Hit peple,Geopolitical,Yes
?????? ?????? ???? ?????? ??? ????? ?????? ?????? ??? ????? ??? ?????!! ???? ????? ?? ??? ???????? ??? ????,"After discussing with Nannu Papun, I sent them on leave and got a place in the team !! It is difficult to walk in the world without being a little clever",Normal Sentence,Sports,No
??????????? ????????? ????? ???? ?? ?? ???? ?????? ??? ???? ??? ?????? ???? ???? ???? ???? ????????? ???????????? ???? ?? ???? ????? ??? ?? ?? ???? ???? ???? ??!,"If we take a look at the demands made by Australia to play in Bangladesh, it will be seen that they do not play with so many conditions while playing England, New Zealand and India!",Normal Sentence,Sports,No
?????????? ??? ????? ???? ????? ???? ???? ??? ??? ???????? ????? ????? ??? ???,The answer should be to take Bangladesh in such a light way if Bangladesh takes the series on its own,Normal Sentence ,Sports,No
"??? ??? ???? ???? ????? ?? ??? ?? ????, ???? ?????? ??? ????? ???? ??? ??????? ???? ??? ???? ?? ????? ????? ???? ??? ??? ???? ???? ???? ??","It's great to see your work, Brother  There are a lot of guys who play really good cricket.",Normal Sentence,Sports ,No
???? ?????? ???????? ??????? ??????? ?? ?? ?????? ????? ?? ????? ?????,"How long will you run all these dialogues of  militancy, extremism, traitor.",Hit a Party,Political,Yes
??? ???????? ????? ??? ???? ????? ??????? ????? ???? ??? ??? ??????? ????,If prostitute Mumtaz can be a Member of Parliament then why can't she be a Hero Alam,Directly  Hit a person,Personal,Yes
???????? ???? ??????? (??????? ?????? ?????????) ????? ????????,"Seeing Urvashi, Brahma used to masturbate (Kabiraji masturbates in Bengali).",Directly  Hit a hindu religious,Religious,Yes
????????? ?? ??? ????? ????? ??? ?? ??????? ????? ,Do you want know who will break the bed in the wedding night.Check out this sexy lady.,Hit a person,Personal,Yes
?????????? ???? ??????? ???? ???? ????? ??? ???????,Inshallah we are hopeful he will return to his address,Blissful Sentence,Personal,No
"??? ????????? ??? ????? ???? ??????? ?????, ??
??? , ??? ??? ??????? ????? ???? ??? ???? ??????? ????","I used to wait to see pictures on Fridays, and
Now, I am waiting for the video to come to your address",Normal Sentence,Personal,No
????? ??? ????? ???? ???????? ????? ????? ????? ?????? ??????,Prabha seems to have undergone Ass surgery so her hips have improved,Directly hit a person.,Personal,Yes
??% ?????????? ??? ????????? ?? ????????? ????????? ??? ????? ?????? ?????????? ???????,"In Bangladesh, the country of 92% Muslims, today Muslims are the ones who confess to being tortured by dogs in the name of Awami League",Directly hit a political party,Political,Yes
"????? ??? ??????? ???? ???? ??? ??, ???? ?????, ??? ?? ??????? ?????? ????","Women wearing burkas don't make sense, they are human beings, ghosts or animals, said Liton",Hit the Muslim religion,Reliigious,Yes
????? ???? ?? ????? ??? ?????????? ????? ???? ??????? ??? ? ??? ????? ??????? ?????? ????? ?????? ??? ?? ???? ??? ???? ?????,"No matter how hard he grew up eating, he couldn't remember the name of a place. God is trustworthy. May Allah fulfill the hopes of his mind.",Normal Sentence,Personal,No
???????? ???? ?????? ???? ???????? ?????? ?????? ???? ??????????????,"Initially, Jasmine Apur's family was found, Alhamdulillah",Normal Sentence,Personal,No
??????? ????????? ????????? ???? ????? ?????? ??? ???? ????? ????? ??????? ??????? ????? ??? ??????? ????? ???? ???? ???? ?????? ??????? ????? ???,Seeing the emotions of the victims in every program brings tears. Thank you dear brother for capturing their special moment on camera,Normal Sentence,Personal,No
" ????? ??'?? ????? ?? ????? ?????? ??????? ??? ??????, ??? ???? ???? ??????? ????? ???? Md Golam Kebria Sarkar ????? ?????????? ????? ?? ????????, ????? ??????? ????? ???????? ??????","The way people ask after you go to your show, it feels different to me. The people of Bangladesh love Md Golam Kebria Sarkar brother so much, of course for Allah. Congratulations brother.",Blissful Sentence,Personal,No
"?????????????? ?????? ????? ????? ????? ???? ??????? ???? ?????
???? ?? ???????? ?????","Alhamdulillah, Allah will surely help you for your good deeds.
There was prayer and love.",Blissful Sentence,Personal,No
?????????? ?????? ???? ??????? ? ?????? ?? ????? ?????? ???,How rude and violent the boys of Chhatra League are is also the standard here,Directly hit a political Party,Political,Yes
 ??? ????? ??? ???? ??? ???? ?????? ??????? ???? ????? ??-????? ??? ???? ???,Sister liked your words very much. May I have the good fortune to watch each episode.,Normal Sentence,Political,No
???????? ?? ???????? ??? ??????-????? ???? ????????? ??????? ?????????? ?????????? ?????? ??????? ?????,The children of Malayaon(Hindu) are the beneficiaries. They have only helped Bangladesh in the war for their own benefit,Directly hit a Country,Geopolitical,Yes
"??? ????? ?? ??? ??? ???? ??? ??, ?????? ????????? ??? ?? ???? ????? ????? ??? ?????? ??? ???? ??, ???? ??? ????? ????","If everyone thought like you, the family, the neighboring country would all change. He doesn't even remember his own people, he forgets his own past",Normal Sentence,Personal,No
????? ??? ?? ????? ???? ?? ???,The last word is what Mother fucker says,Hit a person,Personal,Yes
"??? ???? ??????? ???? ???? ???? ??? ????? ???? ??????? ???? ???? ???? ??????? ???? ????,???? ???????? ??,????? ??","""League seems to be a little bit smaller in numbers. It takes a little more in numbers to say team. For example, the bastard team, the yaba team.",Normal Sentence use bad words,Political,Yes
?????? ????? ??? ????? ????? ????? ?? ???????? ???? ??? ????? ???? ???? ??????? ? ???????? ????,I am fascinated to see your love for your country from abroad. There was a lot of respect and love,Country lover,Personal,No
"???? ????,,,,???? ????? ???????? ???? ????? ???",From India  brother and sister in law's  married life be happy,Wishful sentence,Personal,No
?? ??? ?????? ?? ??? ??? ??? ????? ??? ???? ??? ??????,"hey Cow fucker do you have any identity of your father and mother, Cow Fucker",hit a person.,Personal,Yes
??? ???????????? ????? ???????????? ???? ??????? ??? ????,Very beautiful. God bless. May your couple be perfect,Normal Sentence,Personal,No
??? ??????????? ?????? ????? ?????? ?????? ???? ????? ??? ?? ?????? ?????,"Ziaur Rahman, the father of the nation, revealed the truth without the help of Bhai Kutta League",Directly hit a political partry,Political,Yes
???? ??????? ??? ????? ????? ??? ??????? ???? ?? ?????? ?????? ! ????? ??? ?????? ????? ?? ???????,Seeing the happiness of such couples is like seeing different happiness. How beautiful you are! May this family always be so sweet.,Blissful Sentence,Personal,No
??????? ???? ????? ???  ??????? ??? ?? ??? ???? ???????? ???? ??????? ????? ????,A thousand times more beasts than the government are the so-called scholars who are destroying Islam,Hit a Group og people,Political,Yes
??? ??? ???????? ???? ???? ???? ???? ??? ???????????? ???? ??????? ??? ???? ??????? ???????? ???????? ????? ???? ???????? ???? ????? ????????? ??????? ???? ???? ??? ???? ???? ??? ??? ???? ??,Chamak bhai you showed us a lot of surprises with maths. Now you surprised us with a little Islamic song and imitative Islamic following post. I am hopeful if you fulfill my hope I will be very happy,Request for something,Personal,No
???? ?? ?????? ????? ???? ??? ????? ?? ????? ??? ???? ?????? ???????,"If you don't keep the veil, then what was the need to keep the clothes?",Hit a person,Personal,Yes
" ?????? ?????, ????????? ???????? ???? ??????? ??????? ???? ????????? ???????? ??? ? ????? ???? ?????","A family full of wonderful compassion, love. Pray to Allah that this bond may remain intact till death.",Blissful Sentence,Personal,No
????? ???? ????? ?????? ?? ??? ????? ???????? ???????? ,Islam is not a religion. It is a political conspiracy to occupy the country,Directly the Islam religion,Religious,Yes
"??? ??? ?? ?????? ?? ?????? ????? ????? ????, ?? ????? ???????? ?? ????? ???????????? ??? ???? ???????? ??????? ???? ??????? ??? ???","The lyrics of all the wonderful songs of Chamak Bhai are wonderful in one word. And with the inspiration of Sister in law's, let life get the fullness of love in every step",Congratualated someone,Personal,No
"???? ??? ?????? ?????????? ???? ????? ????? ????????? ?? ????
?????? ?????????? ????? ???? ????? ???",This is the headline due to the closure of education for many days.Educational institutions should be opened quickly,Normal Sentence,Other,No
 ????????????? ?????? ???????? ???? ????? ???? ?? ????? ?? ????????? ??? ?????? ?????? ???? ,Prime Minister madam is not ashamed to say Chhatra League will try to put pressure on Shibir or Chhatra Dal,Hit a political party,Political,Yes
????? ?????? ????? ??? ???????? ???,Brothers of two cannabis users lost in the fair,Hit towards a brother group,Political,Yes
?????? ??????? ?????? ???? ??? ????? ???? ??? ????????,Eventually Ashraful brother also went to his own address,Normal Sentence,Personal,No
???? ??? ?? ???? ???? ????? ?? ??? ???? ??,There can be no better news before Eid then this,Normal Sentence,Personal,No
????? ???? ?????? ?????? ?????? ???? ?????? ???,Mother's heartbreaking tears really upset the mind,Normal Sentence,Personal,No
?? ????? ????? ?????? ????? ???? ???????? ????? ???? ?????,Dr. Kamal Hossain has come to destroy the BNP as a puppet of India,Normal sentence but hit person directly,Political,Yes
???? ?????? ??? ???? ??? ????????? ????? ????? ???????? ???,There is no difference between giving flowers at the Shaheed Minar and worshiping Hindus,Normal sentence but hit Hindu religious directly,Religious,Yes
"??? ???? ???? ??? ????, ??????? ??????, ??? ?? ?? ???? ????? ?????? ????? ??? ????? ","He should be beaten, Kinney's baby, talk less Ranu Mandal's thoughts are so bad",Hit a Person,Personal,Yes
????? ?? ???? ???? ???? ??? ?????? ???? ???? ???? ?????? ??????? ?????? ?????? ????? ?????? ????? ??? ?? ???? ???? ????? ????,Tears have come to their eyes at this reunion. Ashraful has come through a painful chapter. He was very sad to lose his relatives for so many years,Normal Sentence,Personal,No
??? ??????? ?? ???? ?????????? ????,She is the daughter of Plitician and is a prostitute,Hit a individual,Personal,Yes
?? ?????????? ???? ????? ????? ??? ?? ????? ???????? ?????,Just Waiting for hear this song in bengali language in this condition ,Normal Sentence,Personal,No
?????? ?? ??????? ???? ??????? ????? ?????,Thanks to Hitler because the Jews are really bad,Directly hit a religious group,Religious,Yes
"??????? ?????? ????? ???? ??????, ??? ????? ?????","Everything is the side effect of an unsatisfied pussy, need to be fucked hard.",Hit a individual,Personal,Yes
??? ???? ??? ??? ??? ???? ???? ???? ??? ???? ???? ?????? ????? ????? ?? ????? ????,"When you close your eyes and listen to the songs, you can understand the real meaning of each song",Normal Sentence,Personal,No
"???? ??????? ?????, ??? ???? ??????????? ???? ???,??? ???? ?????????? ??????????? ???,?? ???? ?????? ?????? ?????","A man of choice, who has a magical voice, who has a jealous personality, who is a real man",Normal Sentence,Personal,No
??????? ????? ???? ?????? ?????? ??????? ????? ?? ??????,The people in the media are really dirty. Sex and sex all day.,Directly hit a identity,Personal,Yes
????? ??? ???? ?????? ???? ????? ???? ???? ???? ???? ???? ??? ????? ???? ???? ?? ???? ??? ??? ???? ????? ???????? ?????? ??? ????? ???? ????? ????,A beggar like Ranu should be kept under his feet like a feet cleaner like a shoe is expensive but no one puts it on his head.,Directly hit a person by using bed words.,Personal,Yes
??????? ???? ?????? ????? ????? ????? ???? ???? ??????? ?? ????? ?????? ??? ????????,"As always, Tahsan Bhaiya is the best. It is impossible to express in language how much you like the songs",Love in words,Personal,No
??????? ???????????? ????? ????? ! ???????? ????? ????,Great achievement of extraordinary continuity! Congratulations dear Mushi,Congratualated someone,Sports,No
"?? ????? ????? ???? ??? ??????? ??? ??????? ????? ??? ??? ??? ??, ??????? ???????? ???? ??????? ??????? ??? ???? ???? ???????? ???? ???? ??? ??? ??????","This is the first time I have cast a vote somewhere and hopefully, by the grace of God, I am very happy to be able to participate in the ICC's neutral vote, even if it is a small one.",Joyful Sentence,Sports,No
?? ?????? ??? ????? ??????? ?????? ???? ???????,Waiting in a  big place in railway line to fuck a whore,Use of bed words towards a person,Personal,Yes
